Atalar_sozlari|Random_Ededer
Könlü yemiş istəyən dolanar tağ başına.|630
Könül bir saraya bənzər, tikməsi zor, sökməsi asan!|834
Könül bir şüşədi, sındırmaq olmaz.|613
Könül dostun tanır.|190
Könül gözdən su içər.|757
Könül sevən göyçək olar dünyada.|459
Könül sevən gözəlin nə ağı, nə qarası?|617
Könül tutan keçəldə ayıb olmaz.|519
Könüldən könülə yol var.|456
Könülə güc yoxdur.|137
Könülsüz hürən köpək sürüyə qurd gətirər.|326
Könülsüz işin axırı olmaz.|79
Köpək elə köpəkdi, xaltası qızıl olsa da.|477
Köpək itin qarnı tox gərək.|800
Köpək köpəyin dayağıdı.|160
Köpək qaya êölgəsində yatar, elə bilər öz kölgəsidir.|744
Köpək olmuşdun, belə hürməmişdin.|472
Köpəyin ağzını kiçiklikdə yandır.|721
Köpəyin axmağı qaysavadan pay umar.|458
Köpəyin ayılanı ələ düşməz.|864
Köpəyin duası yerinə yetsə, göydən gündə sümük yağar.|233
Köpəyin könlü kəpəknən xoş olur.|631
Köpəyin qarnı tox olsa, gecə ulduza hürməz.|61
Körpünü keçincə ayıya dayı de.|481
Köşənidə danışaq, xərməndə toz qopmasın.|735
Küçə iti ev qorumaz.|617
Kül başına küllüklər, qarğalar səni dimdiklər.|26
Küldən təpə olmaz.|963
Külü ocaqdan götür.|394
Küpə girməmiş üzüm sirkə olmaz.|759
Kürdün qocalanı qoyuna gedər.|135
Kürəyə düşməyən dəmir yumşalmaz.|22
Kürkçünün kürkü olmaz, börkçünün börkü.|111
Küsülü qardaş, gəl yükü çataq, yenə küsümüz küsü.|480
Küthakütnən it saxlayanın bir təhnə əppəyi gərək.|207
Qabağa keçirsən, deyirlər bicdir, Dala qalırsan, deyirlər gicdir.|779
Qabağım qovurğa qovurur, dalım saman sovurur.|689
Qabağına baxmayanın ayağına daş dəyər.|204
Qaçağı el saxlar.|27
Qaçan da Allahı çağırır, qovan da.|516
Qaçanı qovmazlar, yıxılanı vurmazlar.|944
Qaçırılan fürsət bir də düşməz ələ.|194
Qaçmaq da hünərdəndir.|57
Qaçmaq da hünərdir, qovmaq da.|110
Qafil başın ağrısını beyin bilər.|611
Qafil quşun ovçusu çox olar.|913
Qala içəridən alınar.|503
Qalan işə qar yağar.|70
Qamış bizim eldə bitər, sümsünü ləzgi çalar.|303
Qan eylə qanun ilə.|91
Qan yol verməz.|91
Qanı qan ilə yumayıblar.|987
Qanı su ilə yuyarlar.|519
Qanlı, qapımda nə qayırırsan? - Qan ayaqlım var!|205
Qanlıdan qada əskik olmaz.|791
Qanlını qan tutar.|231
Qanacaqlı həm qanar, həm qandırar.|270
Qanan ilə daş daşı, qanmazla yemə aşı.|134
Qanan kim, qandıran kim?|384
Qanana bir söz yetər, qanmayana yüz oxu.|672
Qanmaza yumruğunu əvvəl düyünlə, sonra söz qandır.|564
Qanadı quşdan kira istəməz.|755
Qapan it dişin göstərməz.|819
Qapılan qapanın, tapılan tapanındır.|418
Qar dağa çıxar dadlanar.|680
Qar ili – var ili.|215
Qar yağmağıynan qarğa ağarmaz.|999
Qarlı qış barlı olar.|378
Qara dolaşaya qırmızı papuş yaraşmaz.|281
Qara eşşək, ağ palan?!|87
Qara eşşəyin başına yüyən vuranda qatır olmaz.|193
Qara günün ömrü az olar.|120
Qara xəbər tez yayılar.|773
Qara qız bəzənincə toy əldən gedər.|264
Qara qız gəlin oldu, ürəyi sərin oldu.|711
Qara qız gəlməsəydi, külbəni kim odlardı.|60
Qara qızdan xatın olmaz, boz eşşəkdən qatır olmaz.|569
Qara qızın baxtı olsaydı, anadan ağ doğulardı.|290
Qara qul özünü öldürdü ki, ağasına zərəri olsun.|908
Qara qula şahlıq versən, əvvəl nənəsinin əmcəyini kəsər.|553
Qara məni basınca mən qaranı basım.|897
Qaradan artıq boya olmaz.|469
Qarabaxt dağlara çıxanda dağları duman alar.|716
Qaraca üzüm var, doğruca sözüm.|770
Qaraçı qaraçıya öpüş verməz.|530
Qaraçının koyxası qaraçı olar.|779
Qaraquş sümüyü ölçər udar.|117
Qaraquşa xeyir öz dimdiyindən toxunar.|735
Qaranlıqda halva yeyənin sirrini Xuda bilir.|290
Qardaş qardaşı bıçaqlar, dönüb yenə qucaqlar.|923
Qardaş qardaşın yoxluğun istər, ölümün istəməz.|582
Qardaş olaq, yarı (tən) bölək.|140
Qardaşım xandır, xatunu sevinsin.|92
Qardaşın necə adamdır? Yoldaş olmamışam.|285
Qarğa döşün çəkməklə qaz olmaz.|582
Qarğa gəldi kəklik yerişi yeriyə, öz yerişin də itirdi.|146
Qarğa ilə dost olanın yediyi peyin olar.|955
Qarğa, qarğa, məndə qoz var!|678
Qarğa qarğanın gözün çıxartmaz.|341
Qarğa qarğaya deyər üzün qaradı.|422
Qarğa nədir qasığı nə ola, birə nədir büzüyü nə ola?!|316
Qarğa özü nədi ki, qarıltısı da nə ola.|500
Qarğadan gözəl quş istədilər, balasını göstərdi.|271
Qarğalar mənim toyuğumdu, yumurtasın görmərəm.|87
Qarğanı yüz il bəslə, yenə tərlan olmaz.|212
Qarğıdalı unu it qudurdar.|21
Qarğış tökən alqış görməz.|265
Qarğışlı baş çox yaşayar.|200
Qarı at arpasız?!|630
Qarı dizinə döyməklə dəvə pambıqdan çıxmaz.|76
Qarı düşmən dost olmaz, əyridi bir damarı.|391
Qarı var – arpa unundan aş elər, qarı var – buğda unun daş elər.|561
Qarın başdan aşağıdı – deyiblər.|886
Qarın doyuran aşı göz tanır.|957
Qarın qardaşdan irəlidir.|372
Qarınlar doyandan sonra yetimlər yada düşər.|883
Qarnım tox olandan sonra bal da olsa yemərəm.|977
Qarnım üçün deyil, qədrim üçündür.|123
Qarnımdaykən qanımı yeyər, çölə çıxar canımı.|3
Qarnın doymayan yerdə aclığını bildirmə.|143
Qarışqadan ibrət al; Yaz ikən qışı düşün.|623
Qarışqanın il yığıntısını baqqal bir dəfəyə tərəziyə qoyar.|388
Qarışqanın ölümü yetəndə qanad gətirər.|7
Qart köpək yedəyə gəlməz.|203
Qaş düzəldən yerdə vurdu gözün də çıxartdı.|961
Qaş-daşı sərraf tanır, nə bilər hər divanə.|721
Qaşıq çömçədən irəli olub.|34
Qaşıqla aş verib sapıyla göz çıxarma.|191
Qaşıyıram qanım çıxır, qaşımıram canım çıxır.|25
Qaşqası böyük olanın sözü çox danışılar.|720
Qatıq süzülü – şoru qalar, ayran süzülü – nəyi qalar?|609
Qatır atasını görməsəydi, özünü xanzada bilərdi.|491
Qatır nə bilir xatır?|927
Qatırdan soruşdular: dədən kimdir? Dedi: nənəm atdır.|462
Qaydadan çıxan peşman olar.|628
Qayğı ilə borc ödənməz.|945
Qayış bilər kotan nə çəkir.|945
Qaynayan qazan qapaq tutmaz.|904
Qaz uçdu, qarğa qondu.|283
Qazan daşanda çömçənin biri bir tümənə gedər.|421
Qazan deyər: dibim qızıldır, Çömçə deyər: bulanmışam çıxmışam.|976
Qazan qarası gedər, üz qarası getməz.|603
Qazan qazana deyər: üzün qara olsun!|689
Qazan olmayan yerdə güvəc də qazandır.|117
Qazan üstüörtülü qaynar.|775
Qazana nə qoysan çömçəyə o gələr.|331
Qazanan qazandığın yesə xan, bəy acından ölər.|927
Qazanc qudurdu, mayanı basdı.|628
Qazanclı yük yüngül olar.|374
Qazandığın darı olsun, çuvalın səbət?!|628
Qazanmayınca qazan qaynamaz.|53
Qazı ağadan alacağın olsun, nə verər, nə danar.|389
Qazı evində girdəkan boldur, amma sayı var.|173
Qazının çörəyini qarışqa da yeməz.|160
Qazının yanına tək gedən şad qayıdar.|523
Qədirbilməzin başmağın cütləyəndə deyər: o yana dur, gözümü çıxartmışdın.|162
Qəlb ki var, şüşədir, sındırma, yamamaq olmaz.|107
Qəlbdən-qəlbə yol olu.|545
Qələm düşmən əlindədir.|81
Qələm əyri kəsilsə də, doğru yazar.|176
Qələm qılıncdan itidir.|356
Qələm yazanı qılınc poza bilməz.|783
Qələmə gətirən eşşəyin qabıq gəmirən qoduğu olar.|617
Qələmin ucu – qılıncın gücü.|123
Qələndər dərd əlindən dağa çıxıb, görən deyir: bəxtəvər yaylağa çıxıb.|384
Qəlp mal yiyəsinə qayıdar.|969
Qəlp odur ki, qəlbindəkin deməyə.|613
Qəm dağı yerindən qopardar.|756
Qəm, hara gedirsən? Qəm yanına.|212
Qəm səni yeyər sən qəmi yeyincə.|599
Qəmli ürək ölməsə də, dirilməz.|670
Qərib dərdin tək ağlar.|488
Qərib dostu olmayandı.|173
Qərib it hürəndə özünə hürər.|151
Qərib it yeddi məhlədən qovular.|310
Qərib itin quyruğu qıçının arasında olar.|697
Qərib quşun yuvasını Tanrı öz əliylə tikər.|884
Qəribi baxışından tanıyarlar.|522
Qəribi vurmuşlar, “Vay, vətən” demiş.|769
Qəribin boynu bükük olar.|803
Qəribin dostu olmaz.|399
Qəribin kimsəsi yox, Allahı vardır.|633
Qəriblikdə ölənin börkü nişanə gedər.|737
Qəşənglik vardan olu, olmasa hardan olu.|954
Qətrandan olmaz şəkər, olsa da cinsinə çəkər.|300
Qəza ilə oyun olmaz.|239
Qəza işin işlər, bizə qalar təşvişlər.|150
Qəzadan qaçmaq olmaz.|103
Qıfıl oğru üçün deyil, doğru üçündür.|737
Qılıqlı quzu yeddi ana əmər, qılıqsız birindən də qalar.|181
Qılıqlı min ev yeyər, qılıqsız bir ev yeyə bilməz.|27
Qılınc da öz qının kəsməz.|167
Qılınc - qurşananın, at - minənindi.|386
Qılınc – Misir, arvad – yesir, döşənəcək – həsir.|573
Qılıncsız qırğına getdik.|311
Qırağına bax bezin al, nənəsinə bax qızın al.|701
Qırx bacanağı bir it parçaladı.|772
Qırx il oğru oldu, bir kərə haram yemədi.|624
Qırx ilin yolçusudur, indi soruşur cümə gecəsi nə vaxtdır.|396
Qırx illik balığa üzmək öyrədir.|589
Qırx quldur bir çılpağı soyammaz.|541
Qırx qurda bir aslan neyləsin?|161
Qırxında öyrənən gorunda çalar.|299
Qırqovul başını kola soxar, quyruğundan xəbəri olmaz.|800
Qısğı güclü olanda qorxaq bacadan qaçar.|520
Qısıla-qısıla behiştə gedincə öyünə-öyünə cəhənnəmə gedəsən.|92
Qısrağa yanan canım, day da dalınca getdi.|506
Qış çıxar, üzü qaralıq kömürə qalar.|333
Qış qışlığın yerdə elər, göydə eləməz.|885
Qışın qarı – yayın barı.|525
Qız ağacı – qoz ağacı, hər yetən bir selbə atar.|590
Qız alan alana kimi, qız verən ölənə kimi.|188
Qız alan göznən baxmasın, qulağıynan eşitsin.|255
Qız alanın ya bir çuval pulu gərək, ya bir çuval yalanı.|80
Qız anadan qorxmasa, öyüd almaz.|293
Qız evi – naz evi.|22
Qız evində danqır-dunqur, oğlan evinin xəbəri yox.|823
Qız qarıyanda dayısının boynuna düşər.|973
Qız qızanda tez soyuyar, vay ondan ki, dul qıza.|707
Qız yükü – duz yükü.|172
Qızı otaqlıya yox, papaqlıya ver.|509
Qızı özbaşına qoysan, ya halvaçıya gedər, ya nağaraçıya.|464
Qızı saldın beşiyə, cehizi çək eşiyə.|764
Qızım, sənə deyirəm, gəlinim, sən eşit.|936
Qızın döyməyən dizin döyər.|23
Qızın isməti – atanın dövləti.|86
Qızını vermə dəli dəvəçiyə, dəvəsi gedər, dəlisi qalar.|284
Qıznan qızıl gizlin gərək.|486
Qızıl Xızırı oynadar.|592
Qızıl inək qaraqabaq gəlinə süd verməz.|646
Qızıl qəfəsdən hər quşun tikdiyi yuvası xoş.|813
Qızıl quşun ayağında qumro olar.|71
Qızıl palçıqda da parıldar.|197
Qızıldan çarıq geysən, yenə adı çarıqdı.|368
Qızıldan taxtın olunca bir quruca baxtın olsun.|901
Qızıllı əli bıçaq kəsməz.|345
Qiblə pakdı.|922
Qisas qiyamətə qalmaz.|126
Qismət göydən zənbillə enməz.|857
Qismətdə olan gəlir.|223
Qismətdən artıq yemək olmaz.|543
Qismətdən qaçmaq olmaz.|130
Qiymətli yük yüngül olar.|562
Qoca at da arpa yeyər.|903
Qoca ayrı, qocaman ayrı.|389
Qoca qurd yuvasından əl çəkməz.|493
Qoca öküzü öldürmək olar, öyrətmək olmaz!|752
Qoca tülkü tora düşməz.|789
Qocanın biliyi, cavanın biləyi.|460
Qocalıq gəldi getməzdir, cavanlıq getdi gəlməzdir.|778
Qocalıq soruşmaz – gələr.|936
Qocalıqda yorğalıq.|585
Qocaya gedən quyruq yeyər, cavana gedən yumruq yeyər.|330
Qocaya gülən özünə gülər.|14
Qoç döyüşünə qoç dayanar.|363
Qoç igiddən qoç törər.|647
Qoçun buynuzu qoça ağırlıq eləməz.|39
Qoduq böyüyər, çulu böyüməz.|391
Qoduq böyüyər eşşək olar.|799
Qoduq hürkəndə anasından qabaq düşər.|311
Qohum gəlməyə-gəlməyə yad olar, yad gələ-gələ qohum olar.|825
Qohumun kimdir? Yaxın qonşun!|433
Qol əti qolda gedər, bud əti budda gedər.|1000
Qoldan tutan azdır, yaxadan tutan çox.|945
Qolun sınığı boyuna yükdür.|413
Qonağa “get” deməzlər, altından palazı çəkərlər.|443
Qonağa hörmət elərlər, əyərçi kafər ola.|621
Qonağa üz versən, taxça-boxçanı gəzər.|212
Qonağı evə qoyan yox, şahqatarın mıxdan asır.|409
Qonağı gəlməyən evlər yıxılsa yaxşıdır.|40
Qonağı xan olanın anbarında arpa qalmaz.|611
Qonağı qonşuya tanıdarsan, hər ikisindən olarsan.|908
Qonağın ağzına baxarlar, atına yem verərlər.|571
Qonağın könlündən keçən ev yiyəsinin könlündən keçməz.|336
Qonağın ruzusu özündən qabaq gələr.|382
Qonağını əzizləyən itə də sümük atar.|933
Qonaq, çörək yeyirsən?|531
Qonaq, dur altını süpürüm.|575
Qonaq evinə motal yüklü gələn buğda yüklü gedər.|481
Qonaq əvvəl gələndə gül üstə oturar, sonra gələndə çul üstə, üçüncü dəfə gələndə, kül üstə.|793
Qonaq güclü olsa, ev yiyəsin evdən qovar.|331
Qonaq qonağı istəməz, ev yiyəsi heç birin.|56
Qonaq qonağın hesabın könlündə saxlar.|964
Qonaq özgə evində səliqəli olar.|263
Qonaq sevənin süfrəsi boş olmaz.|964
Qonaq umduğun yeməz, olduğun yeyər.|573
Qonaqsan – xoş gəlmisən, niyə əliboş gəlmisən?|274
Qonşu aşı dadlı olar.|799
Qonşu çırağı qonşuya işıq salmaz.|76
Qonşu iti qonşuya hürməz.|953
Qonşu, qonşu! – gəl savaşaq.|454
Qonşu qonşudan tez durmaq öyrənər.|953
Qonşu qonşunun itiyini bayatı çağıra-çağıra tapar.|982
Qonşu qonşuya baxar, canını oda yaxar.|714
Qonşu qonşuynan boğuşdu, qaraçıya fürsət düşdü.|734
Qonşu muncuğun oğurlayan gorda taxar.|934
Qonşu paxıl olmasa, bağ çəpəri neylər?!|61
Qonşu payı qarın doyurmaz.|214
Qonşuda bişər, bizə də düşər.|70
Qonşudan gələnnən öynəli olmaz.|959
Qonşum qonşu olsa, kor qızım ərə gedər.|659
Qonşum şah – mən də şah.|117
Qonşun tox – sən də tox.|230
Qonşuna genəş, bildiyini əldən vermə.|818
Qonşunu iki inəkli istə ki, özün də bir inəkli olasan.|432
Qonşunun quzusu qonşuya qoç görünər.|854
Qonşunun şamından işıq düşməz.|240
Qonşuya umud olan şamsız qalar.|618
Qora ikən möyüz oldum.|251
Qorx qorxmazdan, utan utanmazdan.|790
Qorx payızdan – qabağınca qış gəlir, Qorxma qışdan – qabağınca yaz gəlir.|499
Qorx Tanrıdan qorxmayandan.|848
Qorxağın səsi gur olar.|304
Qorxaq bəzirgan nə xeyir elər, nə ziyan.|937
Qorxaq daşın böyüyündən yapışar.|799
Qorxaq gündə yüz yol ölər, igid ömründə bir yol.|260
Qorxaq hər şeyi dörd görər.|842
Qorxaq qaçar hay gəlməmiş, çırmanar keçməyə çay gəlməmiş.|825
Qorxan bəzirgan olmaz.|96
Qorxan it uzaqdan hürər, yaxınnan quyruq bular.|171
Qorxu adama yalan dedirdər.|680
Qorxulu baş salamat olar.|368
Qorunan gözə çöp düşər.|201
Qovanın gücü varsa, qaçanın da Allahı var.|303
Qovurğanın yananı çatlar.|862
Qoy desinlər: Alabaş da yar yolunda can qoyur.|293
Qoy mən qaşoy götürüm, sən şıllaq at.|314
Qoy mənim inəyim südlü olsun, vursun sərnici sındırsın.|966
Qoyma xaldan xal olmaz, xal özü əsli gərək.|885
Qoyun da keçi ayağına gedərmiş.|205
Qoyun dediyin eşmə bağırsaqdır, dalısı heç üzülməz.|656
Qoyun deyir: məni çək xarabaya, səni çıxarım abadanlığa.|308
Qoyun qırxılıq altında qurdu unudar.|826
Qoyun quzusunun ayağını tapdamaz.|440
Qoyunu qoyun ayağından, keçini keçi ayağından.|289
Qoyunu qurda tapşırmazlar.|425
Qoyunun mələdiyin quzu mələməz.|818
Qoyunun yaxşısı gedib, keçi qalıb, adamın yaxşısı gedib, bici qalıb.|124
Qozbeli qəbir düzəldər.|35
Quda qudurub qızın aparıb...|550
Quduran gedər, gicişən qalar.|96
Qudurasan, qurbağa, gedir ilan vurmağa.|430
Qudurmuş köpəyin ömrü qırx gün olar.|49
Qul xatasız olmaz, ağa kərəmsiz.|510
Qul qulluqda gərək.|944
Qulluqçudan borc eləmə, ya toyda istər, ya yasda.|147
Qulun dediyi olmaz, Tanrının dediyi olur.|788
Qulaq asma, öz sözünü eşidərsən.|865
Qulaq deyər: gündə bir səs eşitməsəm, qalxana dönərəm.|615
Qumarı oynarlar eşqnən.|125
Qurban xətaya qalxandır.|68
Qurban olum o qana, üstündən bir gün keçə.|149
Qurban olum zərgərə, saldı məni pərgara.|97
Qurbanı biz elədik, yağış Qaradağa yağdı.|286
Qurd anılan yerə gələr.|153
Qurd daddığın bilər, udduğun bilməz.|935
Qurd dumanlı gün axtarar.|859
Qurd ilə qoyunun nə aşnalığı?!|874
Qurd ilə yeyər, yiyəsiylə şivənə oturar.|207
Qurd qaranlıq sevər.|280
Qurd qarıyanda köpəyin gülüncü olar.|302
Qurd qocalanda köpəyə gülünc gələr.|629
Qurd qonşusun yeməz.|649
Qurd quduranda elini qapar.|531
Qurd qurda dal çevirməz.|638
Qurd quzuya dəyməsə, quzu İsfahana gedər.|460
Qurd nə bilir ki, qatır bahadır.|125
Qurd öz örüşündə ac qalmaz.|240
Qurd sürüyə gələndə tək qoyunlunun qoyunun aparar.|496
Qurd tutduğu yerdən qanıq olur.|596
Qurd tükün dəyişər, xasiyyətin dəyişməz.|841
Qurd yırtdığın bilər, udduğun bilməz.|738
Qurd yuvasından sümük əskik olmaz.|42
Qurda dedilər: səni çoban seçəcəklər, dedi: bəlkə məni aldadırsız?|471
Qurda qonaq gedən köpəyini yanına alar.|169
Qurda qoyun tapşırmaq olmaz.|506
Qurda nə qədər yem ver, yenə gözü meşədədir.|615
Qurda sən tikmək öyrət, yırtmaq dədəsi peşəsidir.|960
Qurddan çoban olmaz.|905
Qurddan qorxan qoyun saxlamaz.|655
Qurddan olan qurd olur, əgər adamnan da böyüsə.|51
Qurddan törəyən qurd olur.|894
Qurdu görmək mübarək, görməmək daha mübarək.|872
Qurdu nə qədər bəsləsən, yenə gözü meşədədir.|265
Qurdun adı, yesə də, qurddur, yeməsə də.|220
Qurdunan qoyun olmaz, qılıncınan oyun.|907
Qurdluca paxlanın qurdluca alıcısı olar.|660
Qurdun səbəbinə quş da yeyər.|110
Quru qurbağası dəniz tanımaz.|889
Quru oduna yaşlar yanar, alışar daşlar yanar.|631
Quru süfrəyə nə bismillah?!|625
Quru torbayla at bir kərə tutular.|291
Quru-quru qurbanın olum.|158
Qurumuş ağacın kölgəsi olmaz.|252
Quş dimdiyindən, insan dilindən.|946
Quş qanadı ilə, adam adı ilə.|608
Quş qızıl qəfəsdə olsa, yenə dustaqdı.|170
Quş quşnan tutular.|231
Quş özü nədir, şorbası da nə ola?!|243
Quş var ətin yeyərlər, quş var ət yedirərlər.|237
Quş yuvasından uçar.|38
Quşa qızıl qəfəs zindandır.|414
Quşlara xəbər gəldi, gecəquşu qanadını göstərdi.|409
Quşun bəzəyi lələkdi, insanın bəzəyi bilikdi.|332
Quşqun olub quyruğa keçincə, yüyən ol ağıza keç.|385
Quyruğun kəsməklə tula köpək olmaz.|617
Quyu qazıyan! Dərin qaz, gen dur, özün düşərsən.|8
Quyuya su tökməklə sulu olmaz.|128
Quzu otaranımız da var, yun darayanımız da.|91
Quzunun taxsırı – qurdun acımasıdı.|886
Quzusuna qıymayan kabab yeyə bilməz.|82
Qürbətdə keçən ömür ömür sayılmaz.|803
Laçın balasın verməz, bəlkə zorla alarlar.|393
Laçın qalada balalar.|239
Lahıcı sel apardı, elə deyirdi: qiblə pakdı.|673
Laxlayan daş ərkdə qalmaz.|480
Lalın dilini anası bilər.|253
Laylayı bilirsən, niyə yatmırsan?|758
Leş görəndə qarğa quzğuna dönər.|991
Lələ köçüb, yurdu qalıb.|822
Lənət heçə.|754
Ləzgiyə dedilər: can şirindi, bəkməz? Dedi: iki dostun arasına girmağ olmaz.|54
Ləzgiyə dedilər: göyə çıxa bilərsənmi? Dedi: bəkməz yesəm çıxaram.|570
Loxma qarın doyurmaz, məhəbbət artırar.|964
Lotu lotunu tapmasa, qara geyər, yaslı olar.|10
Lotu lotunun sözünə inanar.|222
Lotuluq tərg götürməz.|871
Löyünsüzə böyüklük eləmək olmaz.|821
Lüleyin aftafa yerin tutar, girov qoyanda – alan olmaz.|556
Lütün dərdi olmaz.|593
Lütdən kəsən harda yeyəcək?!|516
Mal adama həm dostdur, həm düşmən.|278
Mal gedər bir yana, iman gedər min yana.|92
Mal itdi, iman itdi.|579
Mal yiyəsinə oxşamasa haramdı.|435
Malı gedənin imanı da gedər.|475
Malı qırov öldürər, qışın adı bədnamdır.|482
Malı mal yanında tanıyarlar.|561
Malı yox - oğru apara, imanı yox - şeytan apara.|950
Malım budu, yarısı sudu, alsan da budu, almasan da.|66
Malın əziz tutan canın zəlil tutar.|815
Malın mal olunca bazarın bazar olsun.|771
Malın tapıldı, üzün qara oldu.|424
Malın yeməzin malını yeyərlər.|643
Malını bəylər apardı, camalına nə oldu?!|543
Malını itlər yeyər, canını bitlər.|606
Malını yaxşı saxla, qonşunu oğru tutma.|152
Mamaça çox olanda uşaq tərs gələr.|418
Matahın matah olunca bazarın bazar olsun.|531
Maya doğar, nər doğmaz.|458
Mayasız fətir olar.|723
Mehtərin səsi uzaqdan xoş gələr.|226
Meşə çaqqalsız olmaz.|963
Meşədə ağacın düzün seçərlər.|345
Meşəyə gedən öz ağacın kəsər.|156
Meşəyə od düşəndə quru da yanar, yaş da.|848
Meyxanaçıdan şahid istədilər, sərxoşu göstərdi.|658
Meyxanaçının şahidi üzümayaqlayan olar.|98
Meymuna dedilər oyna, dabanını qovzadı.|380
Meymunun su xırtdanağına çıxanda balasını ayağının altına alar.|741
Meyvəli ağaca daş atan çox olar.|895
Məclisdə yerin tanı, deməsinlər – dur burdan!|746
Məcnun kimi dərs oxuyan axır vəlleylidə qalar.|812
Məhəbbət gözdə olmaz, könüldə olar.|978
Məkkədən gələn mən, xəbər verən sən!|509
Mən Allah-Allah ilə day öyrədirəm, sən papaq atıb hürküdürsən?!|92
Mən balamı istərəm, balam istər balasın.|368
Mən belə holavar eşitməmişəm.|531
Mən billəm hansı inəyin buzovusan.|145
Mən bu evin öküzüyəm, istər kotana qoşsunlar, istər cütə.|457
Mən deyirəm axtayam, bu soruşur: oğlun, uşağın nəyin var?!|292
Mən dəli, anam dəli, bir dəli bacım da var.|247
Mən qurd isəm – alıram, mən çobanam – vermirəm.|62
Mən mürdəşirəm, yuyaram, istər cənnətə getsin, istər cəhənnəmə getsin.|16
Məndə elə tale hayandadı, oynaş qoynuna girəm, qonşum da üstümü örtə.|286
Məndən sənə öyüt: dənini özün üyüt.|694
Mənə bax nə gündəyəm, yara bax – nə sallanır.|144
Mənə bitməz iş deyir, adımı qoyur yarıtmaz.|866
Mənə dəyməyən qurd min yaşasın.|731
Mənəmlik şeytana yaraşır.|530
Məni aparan suya dərya deyərəm.|781
Məni bir ilan çaldı, dilimi bilən çaldı.|442
Məni xublara möhtac, gözüm, sən eləmisən!|737
Məni sayanın quluyam, saymayanın ağası.|232
Məni yeməyən qurda köpək demərəm.|37
Mənim bişmiş aşıma su calama.|711
Mənzil yaxın, kira çox, bunda bir əlamət var.|789
Mərd ələ yapışar, namərd ayağa, haray!|603
Mərd əli kasad olmaz.|388
Mərd igidlər süfrə açar, ad alar.|771
Mərd kişi çörəyini daşdan çıxardar.|557
Mərd qədrini mərd bilər.|500
Mərd mərdə qənim olar, Mürtəza Əli hər ikisinə.|189
Mərd özündən bilər, namərd özgədən.|700
Mərdə arxa çevir, namərdə vermə yaxa.|554
Mərdə güllə dəyməz heç kürəyindən.|237
Mərdi qova-qova namərd eləmə.|785
Mərdimazarı axtarmaqla deyil, rast gəlməklədir.|63
Mərdin gözü tox olar, namərdin gözü ac.|979
Mərdin qapısı açıq olar!|658
Mərdin paxılı deyilsən ki?|444
Mərəkdə itəni döllükdə axtar.|110
Mərifət manqura dəyməz, simüzər dövranıdır.|567
Məscid qapısıdır, nə sökmək olur, nə yandırmaq.|175
Məscid tikilməmiş kor əsasın dayadı.|997
Məscidin qapısı açıqdır, itin də həyası gərək.|524
Məsəldə münaqişə olmaç.|75
Məzlumun ahı, devirər şahı.|399
Milçək şirəyə yığışar.|834
Milçəyin oluşu bir şey deyil, di gəl ürək bulandırır.|822
Min bilsən, bir biləndən xəbər al.|439
Min qapıda duz dadan bir qapıda bənd olmaz.|381
Min ulduz var, bircə ay.|323
Min yeyənin olsun, bir deyənin olmasın.|366
Minarəyə xərci çıxmayan deyər bəs yerdən göbələk çıxıb.|50
Mindin atın sağrısına, qatlaş yanının ağrısına.|874
Minmə qoduq, vermə cərimə.|59
Mis ki gəldi, saxsı, qaç!|813
Mis sındı, ya cingildədi.|233
Miyançının kisəsi gen olar.|707
Molla alacağın unutmaz.|82
Molla bəyə qoşuldu, xalqın evi yıxıldı.|926
Molla evindən aş çıxmaz, kor gözdən yaş.|706
Molla halvanı gördü, yasini unutdu.|27
Molla Nəsrəddin sağ ola, eşşəklərin qurd yeyə?!|853
Molla olmaq çox hasand, adam olmaq çox çətin.|171
Molla tuluq zurnasıdı, qarnı dolmasa səsi çıxmaz.|179
Mollanı iki yerə çağıranda bağrı çatlar.|379
Mollaya dedilər: qonşuda bir kasıb ölmüş, dedi: naxoşam.|774
Motala dadanan köpək bir də gələr.|384
Murdar əsgiyə od düşməz.|335
Murdarı murdar aparar.|109
Muzdur, yerində düz dur.|590
Müftə sirkə baldan şirin olar.|696
Müxənnətin üstünə getmə, igid edərsən.|907
Mülk satan qırx gün tox olar.|169
Mürdəşir haqqı ilədir, ölü necə olur olsun.|105
Mürüvvətə əndazə olmaz.|218
Müştəridə göz olsa, satan acından ölər.|894
Nacins ağac düyünlü olar.|948
Nacins qarpızın toxumu çox olar.|992
Nahaq qan yerdə qalmaz.|564
Naxır yerli-dibli yoxdur, bu, ala dana axtarır.|876
Naxırçı qızı naxırçı çörəyi arzular.|671
Naxırçı qızından xanım olmaz.|32
Naxırçı qızını verdi, torba dağarcığı da üstəlik.|608
Naxırçının könlü naxır çörəyi istər.|740
Nalını almamış mıxını çalma.|880
Namaz qıla-qıla yıxdın öyümü, indi başlamısan Haca getməyə.|401
Namərd yoldaşından görər, mərd Allahından.|202
Namərdə tuş olanın ciyəri qana dönər.|486
Namərdi bir gördün, bir də görsən, namərdsən.|109
Namərdin çörəyi dizinin üstə olar.|280
Namərdin gözü dar olar.|88
Namərdin sözünü söz eləmək olmaz.|17
Namusu itə atdılar, it yemədi!|727
Naşıya zurna verəndə yoğun başından yapışar.|160
